,city,company,country,date,expired,formattedLocation,formattedLocationFull,formattedRelativeTime,indeedApply,jobkey,jobtitle,latitude,longitude,onmousedown,query,snippet,source,sponsored,state,stations,url
22,Seattle,Google,US,"Mon, 19 Sep 2016 09:48:25 GMT",false,"Seattle, WA","Seattle, WA",30+ days ago,false,053bbff2f7559d62,"Data Scientist / Quantitative Analyst, Engineering",47.604397,-122.32967,"indeed_clk(this,'2266');",data+scientist,"(e.g., as a statistician / data scientist / computational biologist / bioinformatician). As a Data Scientist, you will evaluate and improve Google's products....",Google,false,WA,,http://www.indeed.com/viewjob?jk=053bbff2f7559d62&qd=LsVW8c0iEXRzkb9K4S0ffamBYu_x_hMniBdnXt78vi0_wHkwQrCdt91k9_FLudNYMlkHegqyCpRRHufrX2C9KLeJkvxhLXTS2xRABv6u61aptQI94s5DsPOzRyYMc52A&indpubnum=9207766499679789&atk=1b1sovehd18j37av
23,Santa Monica,Tastemade,US,"Tue, 08 Nov 2016 20:34:18 GMT",false,"Santa Monica, CA","Santa Monica, CA",10 days ago,true,2519820c6a28bd8f,Data Scientist,34.01923,-118.48901,"indeed_clk(this,'2266');",data+scientist,"As a Data Scientist, you will solve problems including, but not limited to:. Data is the biggest focus area at Tastemade right now....",Tastemade,false,CA,,http://www.indeed.com/viewjob?jk=2519820c6a28bd8f&qd=LsVW8c0iEXRzkb9K4S0ffamBYu_x_hMniBdnXt78vi0_wHkwQrCdt91k9_FLudNYMlkHegqyCpRRHufrX2C9KLeJkvxhLXTS2xRABv6u61aptQI94s5DsPOzRyYMc52A&indpubnum=9207766499679789&atk=1b1sovehd18j37av
24,Redwood City,Electronic Arts,US,"Fri, 28 Oct 2016 22:13:36 GMT",false,"Redwood City, CA","Redwood City, CA 94065",21 days ago,false,1692fd87c4c7b454,Data Scientist (University Grad),37.524433,-122.25432,"indeed_clk(this,'2266');",data+scientist,What a Data Scientist does at EA:. The next great EA Data Scientist also needs:. The EA Digital Platform Data Group is responsible for developing a new unified...,Electronic Arts,false,CA,,http://www.indeed.com/viewjob?jk=1692fd87c4c7b454&qd=LsVW8c0iEXRzkb9K4S0ffamBYu_x_hMniBdnXt78vi0_wHkwQrCdt91k9_FLudNYMlkHegqyCpRRHufrX2C9KLeJkvxhLXTS2xRABv6u61aptQI94s5DsPOzRyYMc52A&indpubnum=9207766499679789&atk=1b1sovehd18j37av
0,Charlottesville,University of Virginia,US,"Wed, 16 Nov 2016 23:36:58 GMT",false,"Charlottesville, VA","Charlottesville, VA",1 day ago,false,02dea3e109b209fb,Data Scientist,38.027473,-78.47253,"indeed_clk(this,'3196');",data+scientist,The Data Scientist will also create and deploy reports and analytics apps using UVA's business intelligence tool (Qlik Sense);...,University of Virginia,false,VA,,http://www.indeed.com/viewjob?jk=02dea3e109b209fb&qd=LsVW8c0iEXRzkb9K4S0ffamBYu_x_hMniBdnXt78vi0_wHkwQrCdt91k9_FLudNYMlkHegqyCpRRHufrX2C9KDLroJyYumzrO0ucICm7lK6ptQI94s5DsPOzRyYMc52A&indpubnum=9207766499679789&atk=1b1sovfeeag2idh9
1,New York,CompIQ,US,"Wed, 09 Nov 2016 23:19:28 GMT",false,"New York, NY","New York, NY",8 days ago,true,a312ed51a24190d8,Data Scientist,40.71154,-74.00549,"indeed_clk(this,'3196');",data+scientist,We're looking for a highly analytical data scientist who's creative and willing to explore just how far data can really take us and set into motion the...,CompIQ,false,NY,,http://www.indeed.com/viewjob?jk=a312ed51a24190d8&qd=LsVW8c0iEXRzkb9K4S0ffamBYu_x_hMniBdnXt78vi0_wHkwQrCdt91k9_FLudNYMlkHegqyCpRRHufrX2C9KDLroJyYumzrO0ucICm7lK6ptQI94s5DsPOzRyYMc52A&indpubnum=9207766499679789&atk=1b1sovfeeag2idh9
2,Beachwood,Cleveland Clinic,US,"Fri, 18 Nov 2016 14:53:42 GMT",false,"Beachwood, OH","Beachwood, OH 44122",7 hours ago,false,a75d1fda4c9ed9ae,Data Scientist I,41.467033,-81.51099,"indeed_clk(this,'3196');",data+scientist,"Performs basic data analysis to include data validation, investigation, and trending analysis. Assists Data Scientist II and III with transforming data into...",Cleveland Clinic,false,OH,,http://www.indeed.com/viewjob?jk=a75d1fda4c9ed9ae&qd=LsVW8c0iEXRzkb9K4S0ffamBYu_x_hMniBdnXt78vi0_wHkwQrCdt91k9_FLudNYMlkHegqyCpRRHufrX2C9KDLroJyYumzrO0ucICm7lK6ptQI94s5DsPOzRyYMc52A&indpubnum=9207766499679789&atk=1b1sovfeeag2idh9
3,Sunnyvale,3MKLLC,US,"Wed, 16 Nov 2016 16:07:47 GMT",false,"Sunnyvale, CA","Sunnyvale, CA",2 days ago,true,1dadaf95ddb9df8d,Data Scientist with Machine Learning and NLP (Natural Language Processing),37.368134,-122.03297,"indeed_clk(this,'3196');",data+scientist,Data Scientist with Machine Learning and NLP*. We are seeking a smart and engaged Data Scientist to work with our large data sets....,Indeed,false,CA,,http://www.indeed.com/viewjob?jk=1dadaf95ddb9df8d&qd=LsVW8c0iEXRzkb9K4S0ffamBYu_x_hMniBdnXt78vi0_wHkwQrCdt91k9_FLudNYMlkHegqyCpRRHufrX2C9KDLroJyYumzrO0ucICm7lK6ptQI94s5DsPOzRyYMc52A&indpubnum=9207766499679789&atk=1b1sovfeeag2idh9
4,Kansas City,The Nerdery,US,"Wed, 14 Sep 2016 06:59:24 GMT",false,"Kansas City, MO","Kansas City, MO 64106",30+ days ago,false,bd051ff96521f084,Data Scientist: Kansas City,39.1057,-94.5813,"indeed_clk(this,'3196');",data+scientist,"Experience with Machine Learning algorithms, Data Mining techniques, Data Munging. About the Data Services Team....",The Nerdery,false,MO,,http://www.indeed.com/viewjob?jk=bd051ff96521f084&qd=LsVW8c0iEXRzkb9K4S0ffamBYu_x_hMniBdnXt78vi0_wHkwQrCdt91k9_FLudNYMlkHegqyCpRRHufrX2C9KDLroJyYumzrO0ucICm7lK6ptQI94s5DsPOzRyYMc52A&indpubnum=9207766499679789&atk=1b1sovfeeag2idh9
5,San Francisco,Dropbox,US,"Tue, 01 Nov 2016 18:23:35 GMT",false,"San Francisco, CA","San Francisco, CA",17 days ago,false,d7f75892e79745ea,Data Scientist,37.774727,-122.41758,"indeed_clk(this,'3196');",data+scientist,Query and process big data:. The Revenue Data Science team will deliver analytics and tools to drive revenue by combining the rich internal data across 500M+...,Dropbox,false,CA,,http://www.indeed.com/viewjob?jk=d7f75892e79745ea&qd=LsVW8c0iEXRzkb9K4S0ffamBYu_x_hMniBdnXt78vi0_wHkwQrCdt91k9_FLudNYMlkHegqyCpRRHufrX2C9KDLroJyYumzrO0ucICm7lK6ptQI94s5DsPOzRyYMc52A&indpubnum=9207766499679789&atk=1b1sovfeeag2idh9
6,Pittsburgh,Google,US,"Thu, 03 Nov 2016 10:30:48 GMT",false,"Pittsburgh, PA","Pittsburgh, PA",15 days ago,false,ce6bb99cefe91953,"Data Scientist / Quantitative Analyst, Engineering",40.43956,-79.99451,"indeed_clk(this,'3196');",data+scientist,"(e.g., as a statistician / data scientist / computational biologist / bioinformatician). As a Data Scientist, you will evaluate and improve Google's products....",Google,false,PA,,http://www.indeed.com/viewjob?jk=ce6bb99cefe91953&qd=LsVW8c0iEXRzkb9K4S0ffamBYu_x_hMniBdnXt78vi0_wHkwQrCdt91k9_FLudNYMlkHegqyCpRRHufrX2C9KDLroJyYumzrO0ucICm7lK6ptQI94s5DsPOzRyYMc52A&indpubnum=9207766499679789&atk=1b1sovfeeag2idh9
